,,,,,,,,,,,,,,,,,,,,,,,,
Index,Key,Street Number,Street,Unit,Model,Units,Mutual,Bldg Date,Bldg Code,Phase,Parking Type,Building Type,Elvator (Y/N),SomeOneLives,Steps (Y/N),# of Front Steps,# of Back Steps,Distance to Drop,Distance to Parking,Parking Grade,Carport #,APN,Location,HoaAmount
11131,5017-,5017,Jardin,,Villa Serena,1,Condominium,9/1/1973,C12RC_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-017,"33.61448,-117.74628",#N/A
11136,5022-,5022,Avenida Del Sol,,Villa Serena,1,Condominium,9/1/1973,C12RB_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-022,"33.61465,-117.74703",#N/A
11138,5024-,5024,Avenida Del Sol,,Villa Serena,1,Condominium,9/1/1973,C12A_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-024,"33.61463,-117.74735",#N/A
11146,5032-,5032,Avenida Del Sol,,Villa Serena,1,Condominium,9/1/1973,C12RA_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-032,"33.61519,-117.74869",#N/A
11150,5036-,5036,Avenida Del Sol,,Villa Serena,1,Condominium,9/1/1973,C12RA_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-036,"33.61573,-117.74926",#N/A
11153,5039-,5039,Avenida Del Sol,,Villa Serena,1,Condominium,9/1/1973,C12RB_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-039,"33.61606,-117.74962",#N/A
11156,5042-,5042,Avenida Del Sol,,Villa Serena,1,Condominium,9/1/1973,C12B_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-042,"33.61649,-117.74923",#N/A
11162,5048-,5048,Avenida Del Sol,,Villa Serena,1,Condominium,9/1/1973,C12B_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-048,"33.61733,-117.74865",#N/A
11165,5051-,5051,Avenida Del Sol,,Villa Serena,1,Condominium,9/1/1973,C12A_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-051,"33.61777,-117.74825",#N/A
11171,5057-,5057,Avenida Del Sol,,Villa Serena,1,Condominium,9/1/1973,C12RB_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-057,"33.61775,-117.74761",#N/A
11174,5060-,5060,Avenida Del Sol,,Villa Serena,1,Condominium,9/1/1973,C12RC_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-060,"33.61729,-117.74811",#N/A
11176,5062-,5062,Avenida Del Sol,,Villa Serena,1,Condominium,9/1/1973,C12RA_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-062,"33.617,-117.74837",#N/A
11179,5065-,5065,Avenida Del Sol,,Villa Serena,1,Condominium,9/1/1973,C12RA_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-065,"33.61659,-117.74864",#N/A
11181,5067-,5067,Avenida Del Sol,,Villa Serena,1,Condominium,9/1/1973,C12RC_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-067,"33.61633,-117.74883",#N/A
11186,5072-,5072,Avenida Del Sol,,Villa Serena,1,Condominium,9/1/1973,C12B_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-072,"33.61553,-117.74849",#N/A
11190,5076-,5076,Tero,,Villa Serena,1,Condominium,9/1/1973,C12RA_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-076,"33.61551,-117.74786",#N/A
11193,5079-,5079,Ovalo,,Villa Serena,1,Condominium,9/1/1973,C12A_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-079,"33.61587,-117.74712",#N/A
11194,5080-,5080,Ovalo,,Villa Serena,1,Condominium,9/1/1973,C12RC_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-080,"33.61592,-117.74728",#N/A
11196,5082-,5082,Ovalo,,Villa Serena,1,Condominium,9/1/1973,C12RA_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-082,"33.61637,-117.74716",#N/A
11198,5084-,5084,Ovalo,,Villa Serena,1,Condominium,9/1/1973,C12RB_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-084,"33.6162,-117.7469",#N/A
11199,5085-,5085,Ovalo,,Villa Serena,1,Condominium,9/1/1973,C12C_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-085,"33.61614,-117.74676",#N/A
11201,5087-,5087,Ovalo,,Villa Serena,1,Condominium,9/1/1973,C12RA_1,5,2 Car Garage,Home w/Garage,N,None,N,0,No,0,0,A,Garage,932-79-087,"33.61598,-117.74648",#N/A
